Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022/09/01 00:22,1665,8005E24C0,1665,8005E24C0,52.75,US Dollar,52.75,US Dollar,Reinvestment,0
2022/09/01 00:28,1420,8005F2D30,1420,8005F2D30,8163.85,US Dollar,8163.85,US Dollar,Reinvestment,0
2022/09/01 00:12,10,800131480,10,800131480,5.74,US Dollar,5.74,US Dollar,Reinvestment,0
2022/09/01 00:20,12,800131B10,11642,8131A9A80,46.86,US Dollar,46.86,US Dollar,Credit Card,0
2022/09/01 00:02,1665,8005E18F0,1665,8005E18F0,9.89,US Dollar,9.89,US Dollar,Reinvestment,0
2022/09/01 00:21,10,8005F0B50,13327,810B0FB40,86.3,US Dollar,86.3,US Dollar,Credit Card,0
2022/09/01 00:16,908,8005FB700,143995,813600910,3.16,US Dollar,3.16,US Dollar,Credit Card,0
2022/09/01 00:25,1420,8005FD390,1420,8005FD390,780457.62,US Dollar,780457.62,US Dollar,Reinvestment,0
2022/09/01 00:09,1688,8005FD430,1688,8005FD430,748.62,US Dollar,748.62,US Dollar,Reinvestment,0
2022/09/01 00:11,1,800A5F020,1420,8006A3840,1210984.0,US Dollar,1210984.0,US Dollar,ACH,0
2022/09/01 00:29,1420,8005FD390,1292,8006A3890,38386097.0,US Dollar,38386097.0,US Dollar,Cheque,0
2022/09/01 00:12,10,8006AF500,10,8006AF500,956.43,US Dollar,956.43,US Dollar,Reinvestment,0
2022/09/01 00:25,31125,8006AF550,31125,8006AF550,43.44,US Dollar,43.44,US Dollar,Reinvestment,0
2022/09/01 00:26,10,800058100,1688,8005FD430,159271.0,US Dollar,159271.0,US Dollar,ACH,0
2022/09/01 00:14,1420,8006A3840,217680,80C132DC0,3.62,US Dollar,3.62,US Dollar,Credit Card,0
2022/09/01 00:09,1292,8006A3890,121303,80A3C7390,192.83,US Dollar,192.83,US Dollar,Credit Card,0
